Country.Name,Region,Final Cluster,Idealpoint,me,nu,di,hr,co,ec,ps,af,sc,sp,un,int,bu,pc
Yemen Arab Republic,W.AS,C3,-0.790565165,0.10153025,0.083154512,0.090602677,0.105964342,0.166586198,0.061421679,0.139168307,0.030804674,0.013457043,0.02607882,0.026220508,0.030131542,0.025049989,0.019300081
Yugoslavia,S.EU,C3,-0.554994983,0.129324052,0.077748552,0.097014691,0.090976708,0.151568833,0.063065024,0.114591495,0.02314683,0.00807052,0.020186527,0.022210923,0.021409284,0.017876233,0.013735539
Albania,S.EU,C4,-0.697613665,0.174570266,0.032547334,0.052093448,0.103971943,0.163885466,0.051472607,0.016339296,0.030771112,0.008852632,0.005078766,0.00576095,0.008888324,4.28E-05,0.001310947
Belarus,E.EU,C4,-1.499905022,0.152182558,0.077842933,0.100469934,0.107148876,0.142991299,0.051444851,0.039751018,0.019722012,0.006445134,0.008827261,0.007233862,0.012988909,-0.003109025,0.007784932
Bulgaria,E.EU,C4,-0.798679918,0.155650276,0.054859612,0.083544703,0.083514192,0.13276437,0.045099764,0.029884117,0.021088497,0.006469912,0.01113904,0.007510879,0.011880515,-0.005138143,0.005000161
Czechoslovakia,E.EU,C4,-1.974214311,0.09519619,0.055325173,0.066840263,0.084620327,0.141440508,0.037947473,0.037153651,0.028126684,0.009243594,0.012442617,0.005143944,0.013468954,-0.00564426,0.000645213
Hungary,E.EU,C4,-0.802562574,0.151372547,0.050175925,0.081675697,0.081861283,0.135633353,0.044024224,0.02766049,0.020965867,0.006487247,0.011714402,0.007931011,0.011426607,-0.004529046,0.004019152
Mongolia,E.AS,C4,-1.24251556,0.190113027,0.121316833,0.150486082,0.147599883,0.159109561,0.068819404,0.043654966,0.02194288,0.008028754,0.010307351,0.010499703,0.01694241,-0.004131345,0.01258658
Poland,E.EU,C4,-0.958158161,0.131475688,0.044824449,0.071886787,0.076006998,0.126309976,0.041446862,0.04291153,0.018952162,0.005915997,0.010742291,0.009313873,0.009481423,-0.003894707,0.00320342
Romania,E.EU,C4,-0.459164316,0.150975183,0.067392858,0.099860398,0.0817083,0.134667339,0.05228086,0.054191702,0.022406874,0.007176933,0.015292388,0.020740212,0.017503985,0.007340566,0.009325741
Russia,E.EU,C4,-1.352385484,0.133573487,0.052509889,0.077678245,0.101095082,0.130600365,0.048482501,0.041291579,0.01948575,0.006338684,0.008791004,0.007558463,0.01198239,-0.003807074,0.006680751
Ukraine,E.EU,C4,-1.273784101,0.144801531,0.070451849,0.09181405,0.084025324,0.13225193,0.044995693,0.037659314,0.019609271,0.006580607,0.008946417,0.006843137,0.010214936,-0.004198382,0.006069859
Angola,M.AF,C5,-0.816221534,0.234493526,0.14659448,0.172617367,0.180693891,0.147630663,0.103587975,0.06673231,0.018219953,0.007084931,0.009071888,0.041200057,0.026763646,0.019088347,0.022496445
Bahamas,CAR,C5,0.001422281,0.206052384,0.146635683,0.181412139,0.166571652,0.142305721,0.084889557,0.080806273,0.018192406,0.006020815,0.012118955,0.034467933,0.026260005,0.013543973,0.024722078
Bahrain,W.AS,C5,-0.645370042,0.244682787,0.158620913,0.182516325,0.158209097,0.156628311,0.084638027,0.083163846,0.018925094,0.006479057,0.011921426,0.035567695,0.029374369,0.020638709,0.02542516
Bangladesh,S.AS,C5,-0.634378953,0.261349304,0.161865393,0.194594346,0.148670013,0.151763688,0.089142256,0.080347066,0.017626122,0.005850676,0.010815974,0.036891085,0.027984808,0.015128852,0.022280472
Barbados,CAR,C5,-0.015793548,0.197550968,0.136358359,0.168768548,0.164595536,0.141511413,0.082241262,0.08454756,0.019371084,0.00788306,0.012485232,0.029571549,0.025826289,0.021981809,0.022157151
Bhutan,S.AS,C5,-0.440295815,0.227951518,0.136611654,0.177396488,0.166800983,0.14169846,0.084588076,0.084888029,0.018072428,0.006472819,0.011507262,0.032840566,0.028485644,0.026842362,0.026761219
Botswana,S.AF,C5,-0.122720523,0.210590252,0.13323764,0.162049407,0.168296377,0.153222056,0.079088369,0.069958028,0.009803531,0.002360325,0.015372378,0.027113491,0.023389188,0.013478636,0.026142235
China,E.AS,C5,-0.576973729,0.247826643,0.097644736,0.133172054,0.142560728,0.168690899,0.090266533,0.07732018,0.021697957,0.005225463,0.008472096,0.034187414,0.024560603,0.010677477,0.023545683
Djibouti,E.AF,C5,-0.606864032,0.276228747,0.164634719,0.192172417,0.164635082,0.152945863,0.088699422,0.079627248,0.018295224,0.006020094,0.00918196,0.031094018,0.027446111,0.013642037,0.023540321
Equatorial Guinea,M.AF,C5,-0.305341164,0.147438594,0.113250111,0.148945061,0.169840892,0.153896071,0.12486971,0.09333779,0.022001401,0.007531998,0.013119989,0.039587334,0.028017502,0.016913224,0.016772389
Fiji,MEL,C5,0.14815488,0.164189794,0.151021722,0.189182679,0.131904217,0.127247554,0.084437893,0.086035337,0.017781888,0.006640908,0.011004668,0.034164453,0.026134346,0.020858019,0.022409689
